run_id,mode,input_size,degree_a,degree_b,fft_size,processes,rank,host,kernel_total_s,compute_s,communication_s,program_s
correctness-n4096-p4,mpi,4096,4095,4095,8192,4,0,Mac-cua-Nguynnn.local,0.001054000,0.000422000,0.000632000,0.004720000
correctness-n4096-p4,mpi,4096,4095,4095,8192,4,1,Mac-cua-Nguynnn.local,0.001075000,0.000415000,0.000660000,0.004714000
correctness-n4096-p4,mpi,4096,4095,4095,8192,4,2,Mac-cua-Nguynnn.local,0.001079000,0.000421000,0.000658000,0.004714000
correctness-n4096-p4,mpi,4096,4095,4095,8192,4,3,Mac-cua-Nguynnn.local,0.001080000,0.000418000,0.000662000,0.004717000
n1048576-p4-r1,mpi,1048576,1048575,1048575,2097152,4,0,Mac-cua-Nguynnn.local,0.355205000,0.296674000,0.058531000,0.498326000
n1048576-p4-r1,mpi,1048576,1048575,1048575,2097152,4,1,Mac-cua-Nguynnn.local,0.355197000,0.291370000,0.063827000,0.498328000
n1048576-p4-r1,mpi,1048576,1048575,1048575,2097152,4,2,Mac-cua-Nguynnn.local,0.355175000,0.316047000,0.039128000,0.498328000
n1048576-p4-r1,mpi,1048576,1048575,1048575,2097152,4,3,Mac-cua-Nguynnn.local,0.355208000,0.304757000,0.050451000,0.498326000
n1048576-p4-r2,mpi,1048576,1048575,1048575,2097152,4,0,Mac-cua-Nguynnn.local,0.248959000,0.218921000,0.030038000,0.387992000
n1048576-p4-r2,mpi,1048576,1048575,1048575,2097152,4,1,Mac-cua-Nguynnn.local,0.248960000,0.208616000,0.040344000,0.388027000
n1048576-p4-r2,mpi,1048576,1048575,1048575,2097152,4,2,Mac-cua-Nguynnn.local,0.248961000,0.210026000,0.038935000,0.387996000
n1048576-p4-r2,mpi,1048576,1048575,1048575,2097152,4,3,Mac-cua-Nguynnn.local,0.248960000,0.210900000,0.038060000,0.388028000
n1048576-p4-r3,mpi,1048576,1048575,1048575,2097152,4,0,Mac-cua-Nguynnn.local,0.237841000,0.197854000,0.039987000,0.376589000
n1048576-p4-r3,mpi,1048576,1048575,1048575,2097152,4,1,Mac-cua-Nguynnn.local,0.237842000,0.204418000,0.033424000,0.376606000
n1048576-p4-r3,mpi,1048576,1048575,1048575,2097152,4,2,Mac-cua-Nguynnn.local,0.237844000,0.201733000,0.036111000,0.376606000
n1048576-p4-r3,mpi,1048576,1048575,1048575,2097152,4,3,Mac-cua-Nguynnn.local,0.237844000,0.190986000,0.046858000,0.376561000
n1048576-p4-r4,mpi,1048576,1048575,1048575,2097152,4,0,Mac-cua-Nguynnn.local,0.241967000,0.199682000,0.042285000,0.383990000
n1048576-p4-r4,mpi,1048576,1048575,1048575,2097152,4,1,Mac-cua-Nguynnn.local,0.241966000,0.206027000,0.035939000,0.383942000
n1048576-p4-r4,mpi,1048576,1048575,1048575,2097152,4,2,Mac-cua-Nguynnn.local,0.241970000,0.206595000,0.035375000,0.383940000
n1048576-p4-r4,mpi,1048576,1048575,1048575,2097152,4,3,Mac-cua-Nguynnn.local,0.241971000,0.203746000,0.038225000,0.383951000
n1048576-p4-r5,mpi,1048576,1048575,1048575,2097152,4,0,Mac-cua-Nguynnn.local,0.224936000,0.194207000,0.030729000,0.361047000
n1048576-p4-r5,mpi,1048576,1048575,1048575,2097152,4,1,Mac-cua-Nguynnn.local,0.224936000,0.192805000,0.032131000,0.361046000
n1048576-p4-r5,mpi,1048576,1048575,1048575,2097152,4,2,Mac-cua-Nguynnn.local,0.224939000,0.199154000,0.025785000,0.361028000
n1048576-p4-r5,mpi,1048576,1048575,1048575,2097152,4,3,Mac-cua-Nguynnn.local,0.224939000,0.189332000,0.035607000,0.361089000
